	<s>	ADC	ADV	CO	DAN	EAN	EAU	ECS	EFN	ENM	EPF	IJ	NFW	NNC	NNU	NNX	NPN	NPR	PAD	PAN	PAU	PCA	PCJ	SCM	SFN	SLQ	SRQ	SSY	VJ	VV	VX	XFP	XPF	XS	XSF	XSJ	XSV
<s>	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-0.062000	-9.226412	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
ADC	-3.771663	-7.912889	-9.159871	-9.308339	-8.900867	-10.219774	-5.247928	-8.753551	-10.910643	-8.092757	-10.186114	-5.247928	-7.174926	-7.890131	-10.870365	-10.133142	-8.087463	-8.463070	-10.545447	-9.154818	-5.217062	-11.604090	-8.303781	-6.542258	-9.030667	-6.904484	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.294621	-7.761551	-10.963619
ADV	-5.112700	-6.327927	-4.911944	-9.308339	-8.900867	-9.634811	-5.247928	-5.242589	-9.910643	-7.092757	-10.186114	-5.247928	-8.174926	-9.263589	-10.870365	-7.548180	-8.087463	-10.632995	-4.764087	-9.154818	-3.882643	-4.516627	-7.303781	-5.694261	-10.030667	-4.702850	-9.221587	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-8.294621	-7.761551	-10.963619
CO	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-7.174926	-5.877531	-10.870365	-3.715290	-7.087463	-10.048033	-10.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-2.440227	-7.139551	-8.654636	-11.201511	-9.888743	-5.321928	-6.599913	-5.247928	-3.470192	-7.761551	-10.963619
DAN	-4.088853	-4.453458	-7.574909	-9.308339	-7.900867	-6.696212	-5.247928	-5.192836	-9.910643	-8.092757	-10.186114	-5.247928	-8.174926	-9.401093	-10.870365	-7.133142	-8.087463	-6.726105	-6.545447	-5.695386	-4.170768	-6.746109	-5.496426	-5.542258	-10.030667	-4.272216	-6.899659	-7.139551	-8.654636	-10.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
EAN	-10.019591	-7.912889	-9.159871	-1.708426	-8.900867	-11.219774	-5.247928	-8.490517	-3.771091	-8.092757	-4.726683	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-6.414232	-7.139551	-1.162783	-1.809194	-1.728872	-5.321928	-6.599913	-5.247928	-9.879583	-0.866733	-1.493977
EAU	-10.019591	-7.912889	-9.159871	-9.308339	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-10.186114	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-8.654636	-10.201511	-9.888743	-5.321928	-6.599913	-5.247928	-9.879583	-7.761551	-10.963619
ECS	-10.019591	-7.912889	-9.159871	-4.664483	-8.900867	-11.219774	-5.247928	-10.075479	-4.888275	-8.092757	-3.365935	-5.247928	-8.174926	-13.723021	-10.870365	-10.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-3.698025	-7.139551	-2.211693	-1.250227	-2.404927	-5.321928	-6.599913	-5.247928	-9.879583	-3.006664	-1.744450
EFN	-10.019591	-7.912889	-9.159871	-0.877886	-8.900867	-11.219774	-5.247928	-11.075479	-10.910643	-8.092757	-0.277722	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-2.425817	-4.992058	-1.562314	-5.321928	-6.599913	-5.247928	-9.879583	-2.807355	-4.504187
ENM	-10.019591	-7.912889	-9.159871	-5.500984	-8.900867	-11.219774	-5.247928	-11.075479	-9.910643	-8.092757	-6.378759	-5.247928	-8.174926	-13.723021	-10.870365	-11.133142	-8.087463	-11.632995	-11.545447	-10.154818	-10.740624	-11.604090	-8.303781	-8.864186	-10.030667	-9.226412	-9.221587	-7.139551	-4.654636	-5.114049	-5.133856	-5.321928	-6.599913	-5.247928	-8.879583	-7.761551	-4.305407
