	#	$	''	(	)	,	.	:	<s>	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	JJ|VBN	LS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBG|NN	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
#	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-4.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710	-5.614710
$	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-0.196945	-8.584963	-8.584963	-8.584963	-8.584963	-7.000000	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963	-8.584963
''	-8.826548	-8.826548	-8.826548	-6.504620	-7.826548	-7.241586	-7.826548	-7.826548	-8.826548	-4.434231	-8.826548	-3.271960	-8.826548	-8.826548	-2.872352	-6.826548	-8.826548	-8.826548	-8.826548	-8.826548	-7.826548	-4.739086	-2.697265	-8.826548	-4.739086	-8.826548	-8.826548	-3.541146	-7.826548	-6.019194	-8.826548	-8.826548	-8.826548	-8.826548	-6.504620	-8.826548	-7.241586	-4.126109	-6.826548	-8.826548	-6.826548	-7.241586	-2.826548	-6.019194	-7.826548	-7.826548	-7.826548	-5.504620
(	-6.643856	-3.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-5.643856	-4.321928	-3.836501	-6.643856	-6.643856	-3.643856	-5.643856	-5.643856	-6.643856	-6.643856	-6.643856	-6.643856	-5.058894	-2.473931	-6.643856	-5.643856	-6.643856	-6.643856	-5.058894	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-5.643856	-6.643856	-5.058894	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856	-6.643856
)	-6.686501	-6.686501	-6.686501	-6.686501	-6.686501	-2.779610	-3.686501	-4.364572	-6.686501	-5.101538	-5.686501	-5.101538	-6.686501	-6.686501	-4.101538	-5.686501	-6.686501	-6.686501	-6.686501	-6.686501	-6.686501	-5.101538	-5.101538	-6.686501	-6.686501	-6.686501	-6.686501	-5.686501	-6.686501	-4.364572	-6.686501	-6.686501	-6.686501	-6.686501	-5.101538	-6.686501	-6.686501	-4.686501	-5.686501	-6.686501	-6.686501	-6.686501	-4.364572	-6.686501	-6.686501	-6.686501	-6.686501	-6.686501
,	-11.535275	-6.043422	-4.231495	-11.535275	-11.535275	-11.535275	-11.535275	-11.535275	-11.535275	-3.557995	-5.557995	-2.920566	-7.727920	-11.535275	-3.869939	-4.365350	-10.535275	-9.950313	-11.535275	-11.535275	-6.891419	-4.277888	-2.721494	-10.535275	-5.535275	-11.535275	-11.535275	-4.355366	-8.213347	-4.287348	-9.213347	-9.950313	-11.535275	-11.535275	-7.727920	-11.535275	-8.365350	-4.231495	-4.727920	-11.535275	-5.345451	-6.677294	-5.043422	-5.426751	-6.177723	-9.950313	-7.011713	-6.011713
.	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-0.027683	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047	-11.272047
:	-8.400879	-6.400879	-8.400879	-8.400879	-8.400879	-8.400879	-6.400879	-7.400879	-8.400879	-4.493989	-5.400879	-3.313417	-8.400879	-8.400879	-3.542898	-3.542898	-6.815917	-8.400879	-8.400879	-6.078951	-6.078951	-4.815917	-2.061029	-8.400879	-5.078951	-8.400879	-8.400879	-5.400879	-8.400879	-5.400879	-7.400879	-8.400879	-8.400879	-8.400879	-6.400879	-8.400879	-6.400879	-5.078951	-6.078951	-8.400879	-6.815917	-5.815917	-6.400879	-7.400879	-6.078951	-8.400879	-6.815917	-4.700440
<s>	-11.272630	-11.272630	-4.063176	-8.272630	-7.687667	-11.272630	-11.272630	-8.950702	-10.272630	-4.082805	-6.572190	-2.236456	-7.813198	-11.272630	-3.005843	-5.143347	-8.102705	-9.687667	-10.272630	-8.687667	-11.272630	-5.063176	-2.487995	-9.687667	-4.863239	-10.272630	-11.272630	-3.906308	-6.880312	-4.365739	-9.272630	-11.272630	-11.272630	-11.272630	-9.272630	-11.272630	-7.687667	-10.272630	-6.749068	-11.272630	-7.465275	-10.272630	-8.687667	-10.272630	-8.272630	-11.272630	-6.880312	-3.854777
CC	-10.535275	-6.628385	-10.535275	-10.535275	-10.535275	-6.727920	-10.535275	-9.535275	-10.535275	-10.535275	-4.891419	-3.325822	-7.535275	-10.535275	-4.195425	-3.151571	-7.213347	-8.213347	-10.535275	-10.535275	-6.834836	-3.222392	-2.610463	-8.535275	-3.920566	-10.535275	-10.535275	-4.109011	-6.075844	-4.325822	-10.535275	-8.535275	-10.535275	-10.535275	-6.834836	-10.535275	-5.075844	-4.581079	-5.075844	-9.535275	-5.727920	-6.213347	-5.581079	-9.535275	-8.213347	-10.535275	-7.365350	-8.535275
